8:29	Newcastle United (praym)	1 - 4 (0 - 2)	Aston Villa (YOSHI)	channel 1
8:29	Crystal Palace (Dimqaa)	3 - 1 (3 - 1)	Bournemouth (Sima)	channel 2
8:44	Newcastle United (praym)	3 - 0 (3 - 0)	Southampton (CarlWhizzer)	channel 1
8:44	Bournemouth (Sima)	2 - 2 (2 - 0)	Aston Villa (YOSHI)	channel 2
8:58	Crystal Palace (Dimqaa)	1 - 1 (0 - 0)	Southampton (CarlWhizzer)	channel 1
8:58	Bournemouth (Sima)	0 - 0 (0 - 0)	Newcastle United (praym)	channel 2
9:13	Southampton (CarlWhizzer)	5 - 0 (2 - 0)	Bournemouth (Sima)	channel 1
9:13	Crystal Palace (Dimqaa)	1 - 2 (1 - 1)	Aston Villa (YOSHI)	channel 2
9:28	Southampton (CarlWhizzer)	3 - 1 (1 - 0)	Aston Villa (YOSHI)	channel 1
9:28	Crystal Palace (Dimqaa)	1 - 1 (1 - 0)	Newcastle United (praym)	channel 2
9:42	Aston Villa (YOSHI)	2 - 2 (1 - 1)	Newcastle United (praym)	channel 1
9:42	Bournemouth (Sima)	1 - 1 (1 - 1)	Crystal Palace (Dimqaa)	channel 2
9:57	Southampton (CarlWhizzer)	3 - 2 (2 - 0)	Newcastle United (praym)	channel 1
9:57	Aston Villa (YOSHI)	2 - 0 (1 - 0)	Bournemouth (Sima)	channel 2
10:12	Southampton (CarlWhizzer)	1 - 1 (0 - 0)	Crystal Palace (Dimqaa)	channel 1
10:12	Newcastle United (praym)	3 - 1 (0 - 0)	Bournemouth (Sima)	channel 2
	England Cyber Stars League 8:00 - 10:30			
Time	Player (Blue)	Match results	Player (Red)	Video
8:00	Tottenham (kiser)	1 - 0 (1 - 0)	Liverpool (Сool_J)	channel 3
8:00	Manchester United (Walker)	1 - 0 (0 - 0)	Arsenal (BoBBY)	channel 4
8:14	Manchester United (Walker)	3 - 0 (1 - 0)	Liverpool (Сool_J)	channel 3
8:14	Manchester City (ForceMajor!)	1 - 3 (0 - 1)	Arsenal (BoBBY)	channel 4
8:29	Manchester City (ForceMajor!)	1 - 2 (1 - 2)	Manchester United (Walker)	channel 3
8:29	Arsenal (BoBBY)	3 - 1 (1 - 1)	Tottenham (kiser)	channel 4
8:44	Manchester City (ForceMajor!)	2 - 0 (1 - 0)	Liverpool (Сool_J)	channel 3
8:44	Tottenham (kiser)	1 - 4 (0 - 2)	Manchester United (Walker)	channel 4
8:58	Arsenal (BoBBY)	3 - 1 (2 - 0)	Liverpool (Сool_J)	channel 3
8:58	Tottenham (kiser)	0 - 3 (0 - 1)	Manchester City (ForceMajor!)	channel 4
9:13	Liverpool (Сool_J)	1 - 3 (0 - 3)	Tottenham (kiser)	channel 3
9:13	Arsenal (BoBBY)	2 - 7 (1 - 5)	Manchester United (Walker)	channel 4
9:28	Liverpool (Сool_J)	0 - 1 (0 - 1)	Manchester United (Walker)	channel 3
9:28	Arsenal (BoBBY)	3 - 3 (1 - 1)	Manchester City (ForceMajor!)	channel 4
9:42	Manchester United (Walker)	1 - 4 (0 - 3)	Manchester City (ForceMajor!)	channel 3
9:42	Tottenham (kiser)	2 - 1 (2 - 1)	Arsenal (BoBBY)	channel 4
9:57	Liverpool (Сool_J)	2 - 1 (0 - 1)	Manchester City (ForceMajor!)	channel 3
9:57	Manchester United (Walker)	4 - 0 (3 - 0)	Tottenham (kiser)	channel 4
10:12	Liverpool (Сool_J)	2 - 4 (0 - 2)	Arsenal (BoBBY)	channel 3
10:12	Manchester City (ForceMajor!)	1 - 0 (0 - 0)	Tottenham (kiser)	channel 4
	Spain Cyber Stars League 10:30 - 13:00			
Time	Player (Blue)	Match results	Player (Red)	Video
10:30	Levante (Sima)	1 - 3 (1 - 1)	Valladolid (CarlWhizzer)	channel 1
10:30	Eibar (YOSHI)	3 - 3 (1 - 2)	Celta (Dimqaa)	channel 2
10:44	Eibar (YOSHI)	1 - 5 (0 - 3)	Valladolid (CarlWhizzer)	channel 1
10:44	Alaves (praym)	2 - 0 (2 - 0)	Celta (Dimqaa)	channel 2
10:59	Alaves (praym)	4 - 1 (1 - 0)	Eibar (YOSHI)	channel 1
10:59	Celta (Dimqaa)	0 - 1 (0 - 0)	Levante (Sima)	channel 2
11:14	Alaves (praym)	1 - 5 (0 - 2)	Valladolid (CarlWhizzer)	channel 1
11:14	Levante (Sima)	2 - 1 (2 - 1)	Eibar (YOSHI)	channel 2
11:28	Celta (Dimqaa)	0 - 2 (0 - 2)	Valladolid (CarlWhizzer)	channel 1
11:28	Levante (Sima)	0 - 2 (0 - 2)	Alaves (praym)	channel 2
11:43	Valladolid (CarlWhizzer)	5 - 0 (3 - 0)	Levante (Sima)	channel 1
11:43	Celta (Dimqaa)	2 - 1 (0 - 1)	Eibar (YOSHI)	channel 2
11:58	Valladolid (CarlWhizzer)	2 - 0 (2 - 0)	Eibar (YOSHI)	channel 1
11:58	Celta (Dimqaa)	3 - 1 (1 - 1)	Alaves (praym)	channel 2
12:12	Eibar (YOSHI)	2 - 3 (1 - 2)	Alaves (praym)	channel 1
12:12	Levante (Sima)	1 - 1 (1 - 0)	Celta (Dimqaa)	channel 2
12:27	Valladolid (CarlWhizzer)	5 - 0 (2 - 0)	Alaves (praym)	channel 1
12:27	Eibar (YOSHI)	1 - 3 (1 - 0)	Levante (Sima)	channel 2
12:42	Valladolid (CarlWhizzer)	4 - 0 (1 - 0)	Celta (Dimqaa)	channel 1
12:42	Alaves (praym)	0 - 3 (0 - 1)	Levante (Sima)	channel 2
	Spain Cyber Stars League 10:30 - 13:00			
Time	Player (Blue)	Match results	Player (Red)	Video
10:30	Real Madrid (kiser)	3 - 1 (2 - 1)	Barcelona (Сool_J)	channel 3
10:30	Valencia (Walker)	3 - 0 (2 - 0)	Sevilla (BoBBY)	channel 4
10:44	Valencia (Walker)	1 - 0 (1 - 0)	Barcelona (Сool_J)	channel 3
10:44	Atletico Madrid (ForceMajor!)	3 - 1 (2 - 0)	Sevilla (BoBBY)	channel 4
10:59	Atletico Madrid (ForceMajor!)	2 - 3 (1 - 2)	Valencia (Walker)	channel 3
